ID_Venda,ID_Cliente,ID_Produto,Data,Quantidade,Canal,Valor_Total
21286,604,20,2024-11-11 00:00:00,2,Loja Física,445615
21287,649,19,2025-02-14 00:00:00,3,Loja Física,1106279
21288,713,79,2025-01-31 00:00:00,1,Loja Física,332932
21289,260,58,2024-11-17 00:00:00,4,Online,1458775
21290,900,29,2025-05-10 00:00:00,3,Loja Física,1569851
21291,652,31,2024-12-17 00:00:00,2,Online,86946
21292,986,69,2025-09-14 00:00:00,1,Loja Física,305981
21293,800,8,2024-10-14 00:00:00,4,Online,122918
21294,210,45,2025-08-21 00:00:00,4,Loja Física,579564
21295,324,36,2025-01-05 00:00:00,1,Online,346462
21296,95,6,2024-12-28 00:00:00,2,Online,666195
21297,781,3,2025-03-24 00:00:00,2,Loja Física,264604
21298,720,34,2025-07-20 00:00:00,4,Online,147488
21299,838,74,2025-02-09 00:00:00,1,Loja Física,239218
21300,625,41,2025-03-09 00:00:00,3,Loja Física,83612
21301,266,96,2025-04-20 00:00:00,2,Online,85676
21302,742,26,2024-12-03 00:00:00,4,Loja Física,124968
21303,459,50,2025-06-27 00:00:00,3,Online,1066554
21304,528,41,2025-02-25 00:00:00,2,Loja Física,557413
21305,809,52,2025-01-29 00:00:00,4,Loja Física,1436938
21306,988,75,2024-11-09 00:00:00,4,Loja Física,21323
21307,424,57,2025-08-23 00:00:00,2,Online,617504
21308,538,25,2025-05-23 00:00:00,2,Online,367749
21309,871,50,2025-02-13 00:00:00,1,Loja Física,355518
21310,1,13,2024-12-01 00:00:00,1,Loja Física,446408
21311,151,54,2024-11-13 00:00:00,4,Loja Física,385206
21312,114,54,2024-11-27 00:00:00,3,Online,288905
21313,1000,36,2025-07-03 00:00:00,4,Online,138585
21314,428,35,2025-03-19 00:00:00,2,Loja Física,46567
21315,792,91,2025-06-19 00:00:00,2,Loja Física,1083252
21316,438,37,2025-06-09 00:00:00,4,Online,136796
21317,82,88,2024-12-03 00:00:00,4,Loja Física,102117
21318,703,47,2025-08-02 00:00:00,3,Online,1072926
21319,430,39,2025-05-04 00:00:00,2,Online,1000323
21320,684,76,2025-03-20 00:00:00,4,Loja Física,1254229
21321,751,9,2024-11-23 00:00:00,3,Online,1404784
21322,769,82,2025-05-01 00:00:00,2,Loja Física,92094
21323,279,20,2025-05-01 00:00:00,1,Online,222807
21324,260,4,2025-07-14 00:00:00,1,Loja Física,17047
21325,731,91,2025-09-07 00:00:00,1,Loja Física,541626
21326,411,10,2025-02-13 00:00:00,1,Online,352455
21327,582,38,2024-11-04 00:00:00,3,Loja Física,57849
21328,82,86,2025-08-28 00:00:00,4,Online,1613176
21329,366,94,2025-06-17 00:00:00,3,Online,121719
21330,112,100,2025-03-26 00:00:00,4,Loja Física,4000
21331,302,37,2025-07-26 00:00:00,2,Loja Física,68398
21332,49,89,2024-10-31 00:00:00,2,Online,899418
21333,799,20,2025-02-12 00:00:00,3,Online,668422
21334,531,34,2025-01-03 00:00:00,4,Loja Física,147488
21335,151,77,2025-06-02 00:00:00,1,Online,461958
21336,868,88,2024-11-08 00:00:00,3,Online,76588
21337,131,80,2025-02-24 00:00:00,4,Online,503148
21338,83,70,2025-05-27 00:00:00,2,Online,600984
21339,97,84,2025-08-20 00:00:00,3,Loja Física,1214279
21340,241,47,2025-09-25 00:00:00,1,Online,357642
21341,477,42,2025-05-05 00:00:00,2,Online,697066
21342,170,25,2025-03-19 00:00:00,3,Loja Física,551624
21343,119,28,2025-06-20 00:00:00,3,Loja Física,1493577
21344,847,49,2025-08-10 00:00:00,2,Loja Física,199549
21345,182,40,2025-05-26 00:00:00,2,Loja Física,205126
21346,587,88,2024-09-29 00:00:00,4,Loja Física,102117
21347,626,41,2025-09-09 00:00:00,4,Online,1114826
21348,31,99,2025-05-09 00:00:00,1,Online,427748
21349,934,12,2025-06-12 00:00:00,3,Loja Física,948183
21350,928,67,2025-01-01 00:00:00,3,Online,46813
21351,373,96,2025-01-10 00:00:00,2,Online,85676
21352,144,23,2024-11-05 00:00:00,1,Loja Física,464809
21353,702,89,2025-01-04 00:00:00,4,Online,1798836
21354,839,89,2025-05-18 00:00:00,3,Online,1349127
21355,36,100,2024-11-17 00:00:00,2,Loja Física,2000
21356,852,41,2025-04-24 00:00:00,4,Loja Física,1114826
21357,772,87,2025-06-08 00:00:00,3,Loja Física,1495941
21358,538,9,2025-08-10 00:00:00,1,Loja Física,468261
21359,984,22,2024-11-25 00:00:00,1,Online,307662
21360,422,94,2025-03-07 00:00:00,3,Online,121719
21361,494,7,2025-06-11 00:00:00,1,Loja Física,383528
21362,72,58,2025-07-15 00:00:00,2,Loja Física,729387
21363,544,49,2025-03-26 00:00:00,4,Loja Física,399098
21364,821,65,2025-05-12 00:00:00,2,Loja Física,21488
21365,328,90,2025-02-09 00:00:00,1,Loja Física,326831
21366,817,28,2025-01-03 00:00:00,3,Online,1493577
21367,884,81,2025-04-27 00:00:00,4,Loja Física,1731472
21368,370,43,2025-07-08 00:00:00,2,Loja Física,745199
21369,660,44,2025-06-18 00:00:00,1,Loja Física,327833
21370,729,76,2025-01-04 00:00:00,3,Loja Física,940672
21371,426,59,2025-01-10 00:00:00,4,Loja Física,1682784
21372,612,59,2025-05-09 00:00:00,3,Loja Física,1262088
21373,346,86,2025-04-04 00:00:00,3,Online,1209882
21374,932,75,2025-04-26 00:00:00,1,Loja Física,53307
21375,850,96,2025-03-10 00:00:00,3,Loja Física,128514
21376,62,5,2025-06-15 00:00:00,2,Online,79621
21377,745,14,2025-01-30 00:00:00,2,Online,619006
21378,340,44,2025-09-27 00:00:00,2,Loja Física,655666
21379,957,3,2025-01-27 00:00:00,2,Loja Física,264604
21380,252,53,2024-12-18 00:00:00,4,Online,1868044
21381,20,94,2025-07-27 00:00:00,1,Loja Física,40573
21382,480,23,2024-12-12 00:00:00,4,Online,1859236
21383,715,31,2024-12-21 00:00:00,4,Online,173892
21384,450,93,2025-04-02 00:00:00,1,Loja Física,468381
21385,329,32,2025-01-27 00:00:00,2,Online,745991
21386,640,27,2025-09-16 00:00:00,2,Online,235306
21387,445,21,2025-01-20 00:00:00,2,Loja Física,244298
21388,431,68,2025-04-10 00:00:00,1,Loja Física,461441
21389,773,69,2024-10-19 00:00:00,4,Online,1223925
21390,24,40,2024-11-09 00:00:00,4,Online,410252
21391,15,39,2025-04-14 00:00:00,1,Loja Física,500162
21392,229,33,2025-04-30 00:00:00,2,Loja Física,612229
21393,768,28,2025-02-13 00:00:00,3,Online,1493577
21394,785,5,2024-11-24 00:00:00,1,Loja Física,398105
21395,770,47,2025-06-29 00:00:00,4,Loja Física,1430568
21396,778,97,2025-09-17 00:00:00,2,Loja Física,975836
21397,607,32,2025-09-28 00:00:00,4,Online,1491982
21398,713,74,2025-02-13 00:00:00,3,Loja Física,717653
21399,774,55,2025-09-17 00:00:00,2,Online,38762
21400,320,8,2024-12-24 00:00:00,1,Online,30729
21401,658,99,2025-06-09 00:00:00,2,Loja Física,855496
21402,623,7,2025-07-28 00:00:00,3,Loja Física,1150584
21403,955,20,2025-02-23 00:00:00,3,Online,668422
21404,663,2,2025-05-21 00:00:00,1,Online,342823
21405,282,3,2025-04-15 00:00:00,3,Loja Física,396905
21406,658,96,2024-10-11 00:00:00,4,Online,171352
21407,563,14,2024-11-03 00:00:00,3,Loja Física,928509
21408,785,32,2025-07-08 00:00:00,4,Online,1491982
21409,995,74,2025-09-23 00:00:00,4,Online,956871
21410,868,28,2025-05-14 00:00:00,1,Loja Física,497859
21411,76,52,2025-03-27 00:00:00,3,Online,1077703
21412,766,14,2025-09-19 00:00:00,2,Online,619006
21413,789,81,2024-11-24 00:00:00,4,Online,1731472
21414,682,11,2024-11-11 00:00:00,3,Online,858192
21415,390,91,2025-07-15 00:00:00,4,Online,2166503
21416,515,92,2025-08-04 00:00:00,2,Online,499763
21417,572,4,2025-04-19 00:00:00,4,Loja Física,68188
21418,813,36,2024-10-04 00:00:00,2,Loja Física,692925
21419,162,49,2025-05-07 00:00:00,3,Online,299323
21420,280,18,2024-11-23 00:00:00,3,Online,680172
21421,971,2,2025-01-15 00:00:00,4,Loja Física,1371293
21422,932,47,2025-01-16 00:00:00,3,Loja Física,1072926
21423,580,88,2024-11-16 00:00:00,3,Loja Física,76588
21424,985,72,2024-12-12 00:00:00,4,Loja Física,14190
21425,191,43,2024-12-21 00:00:00,4,Online,1490398
21426,613,70,2025-08-05 00:00:00,3,Loja Física,901476
21427,398,76,2025-01-11 00:00:00,3,Online,940672
21428,277,82,2025-02-19 00:00:00,2,Online,92094
21429,992,69,2024-12-03 00:00:00,4,Online,1223925
21430,317,84,2025-01-22 00:00:00,2,Online,809519
21431,715,38,2024-11-02 00:00:00,3,Loja Física,57849
21432,404,30,2025-08-21 00:00:00,3,Online,984777
21433,105,10,2025-07-31 00:00:00,2,Loja Física,704911
21434,846,44,2025-06-29 00:00:00,3,Loja Física,983499
21435,186,77,2025-02-19 00:00:00,3,Online,1385874
21436,229,31,2025-08-20 00:00:00,4,Loja Física,173892
21437,252,36,2025-09-20 00:00:00,1,Online,346462
21438,599,58,2025-01-14 00:00:00,4,Online,1458775
21439,476,84,2024-11-29 00:00:00,1,Loja Física,40476
21440,642,15,2024-11-24 00:00:00,1,Online,31413
21441,137,3,2025-07-27 00:00:00,3,Loja Física,396905
21442,308,88,2025-02-14 00:00:00,2,Loja Física,51058
21443,617,64,2025-06-15 00:00:00,2,Online,446594
21444,686,15,2025-05-09 00:00:00,2,Online,62826
21445,31,84,2025-06-30 00:00:00,1,Loja Física,40476
21446,834,76,2025-01-01 00:00:00,2,Loja Física,627114
21447,748,37,2025-04-17 00:00:00,2,Loja Física,68398
21448,249,97,2025-07-17 00:00:00,1,Loja Física,487918
21449,374,33,2025-03-18 00:00:00,2,Loja Física,612229
21450,813,61,2025-07-23 00:00:00,2,Online,1042442
21451,952,49,2024-10-25 00:00:00,1,Loja Física,99774
21452,169,85,2024-11-27 00:00:00,3,Loja Física,451185
21453,215,41,2025-09-07 00:00:00,4,Online,1114826
21454,27,76,2025-06-02 00:00:00,3,Online,940672
21455,729,54,2024-12-30 00:00:00,3,Loja Física,288905
21456,47,61,2025-04-18 00:00:00,3,Online,1563663
21457,524,48,2025-09-10 00:00:00,1,Online,313281
21458,500,31,2024-10-12 00:00:00,4,Online,173892
21459,476,81,2024-11-25 00:00:00,2,Loja Física,865736
21460,122,22,2025-07-05 00:00:00,1,Loja Física,307662
21461,84,68,2025-08-28 00:00:00,2,Loja Física,922882
21462,581,68,2025-02-06 00:00:00,3,Online,1384323
21463,763,54,2025-08-21 00:00:00,3,Loja Física,288905
21464,219,49,2025-04-14 00:00:00,2,Loja Física,199549
21465,51,84,2024-11-04 00:00:00,3,Loja Física,1214279
21466,993,79,2025-09-23 00:00:00,1,Loja Física,332932
21467,589,76,2025-04-21 00:00:00,4,Online,1254229
21468,97,90,2025-04-15 00:00:00,3,Online,980494
21469,379,58,2025-05-19 00:00:00,3,Online,1094081
21470,892,45,2025-07-20 00:00:00,4,Online,579564
21471,869,100,2025-05-31 00:00:00,2,Online,2000
21472,880,13,2025-05-29 00:00:00,4,Loja Física,1785632
21473,228,97,2024-10-15 00:00:00,1,Loja Física,487918
21474,781,90,2024-10-17 00:00:00,4,Loja Física,1307326
21475,332,84,2025-02-27 00:00:00,2,Online,809519
21476,937,39,2025-05-18 00:00:00,1,Loja Física,500162
21477,699,19,2025-03-30 00:00:00,1,Online,36876
21478,13,19,2024-10-28 00:00:00,4,Loja Física,1475039
21479,650,54,2025-09-13 00:00:00,3,Online,288905
21480,81,84,2024-12-30 00:00:00,3,Loja Física,1214279
21481,855,98,2025-02-02 00:00:00,3,Online,1230951
21482,533,71,2025-01-16 00:00:00,4,Online,774071
21483,637,4,2025-07-15 00:00:00,3,Online,51141
21484,128,76,2025-09-13 00:00:00,2,Loja Física,627114
21485,504,20,2024-12-15 00:00:00,4,Loja Física,89123
21486,72,92,2025-01-04 00:00:00,2,Loja Física,499763
21487,156,84,2025-02-19 00:00:00,1,Loja Física,40476
21488,217,12,2025-05-21 00:00:00,3,Online,948183
21489,537,94,2025-03-27 00:00:00,4,Online,162292
21490,204,67,2025-01-05 00:00:00,1,Loja Física,156043
21491,998,34,2024-09-30 00:00:00,4,Loja Física,147488
21492,187,97,2025-07-09 00:00:00,3,Online,1463754
21493,677,32,2025-05-09 00:00:00,1,Loja Física,372995
21494,200,21,2025-08-09 00:00:00,2,Loja Física,244298
21495,608,30,2025-04-15 00:00:00,4,Loja Física,1313036
21496,172,100,2025-01-12 00:00:00,3,Online,3000
21497,840,30,2024-10-07 00:00:00,2,Loja Física,656518
21498,640,17,2025-07-20 00:00:00,1,Online,386951
21499,484,79,2025-09-24 00:00:00,1,Loja Física,332932
21500,613,37,2024-12-09 00:00:00,3,Loja Física,102597
21501,205,44,2024-12-14 00:00:00,1,Loja Física,327833
21502,142,51,2024-12-14 00:00:00,4,Loja Física,932136
21503,793,76,2024-10-25 00:00:00,1,Online,313557
21504,417,10,2024-12-08 00:00:00,4,Online,1409821
21505,1,17,2025-02-19 00:00:00,2,Loja Física,773902
21506,943,17,2025-01-13 00:00:00,4,Loja Física,1547804
21507,107,29,2024-11-28 00:00:00,1,Online,523284
21508,37,67,2025-06-09 00:00:00,1,Online,156043
21509,988,80,2024-11-12 00:00:00,3,Online,377361
21510,10,60,2025-01-20 00:00:00,4,Loja Física,1787767
21511,87,72,2024-12-26 00:00:00,1,Loja Física,35475
21512,436,27,2025-03-20 00:00:00,3,Loja Física,352959
21513,301,86,2025-07-20 00:00:00,3,Loja Física,1209882
21514,675,91,2025-02-16 00:00:00,1,Loja Física,541626
21515,366,18,2024-11-01 00:00:00,3,Loja Física,680172
21516,303,60,2025-02-15 00:00:00,3,Online,1340825
21517,720,50,2025-04-23 00:00:00,2,Loja Física,711036
21518,24,6,2025-02-28 00:00:00,2,Online,666195
21519,591,56,2024-10-17 00:00:00,3,Loja Física,1241252
21520,702,44,2025-07-04 00:00:00,3,Online,983499
21521,251,69,2025-05-01 00:00:00,4,Online,1223925
21522,908,95,2024-11-08 00:00:00,3,Loja Física,561354
21523,712,54,2024-12-28 00:00:00,2,Online,192603
21524,871,75,2025-08-14 00:00:00,4,Online,21323
21525,787,89,2025-07-04 00:00:00,3,Online,1349127
21526,767,43,2024-10-21 00:00:00,3,Online,1117798
21527,415,86,2024-12-26 00:00:00,1,Online,403294
21528,424,26,2025-09-11 00:00:00,4,Loja Física,124968
21529,655,79,2025-09-02 00:00:00,3,Loja Física,998796
21530,216,23,2024-12-03 00:00:00,4,Online,1859236
21531,386,45,2025-02-22 00:00:00,3,Online,434673
21532,633,72,2025-05-31 00:00:00,4,Loja Física,14190
21533,715,5,2025-06-10 00:00:00,2,Online,79621
21534,515,47,2024-10-16 00:00:00,1,Online,357642
21535,463,77,2024-10-01 00:00:00,3,Online,1385874
21536,995,17,2025-04-25 00:00:00,2,Online,773902
21537,737,52,2025-08-23 00:00:00,2,Loja Física,718469
21538,684,32,2025-07-10 00:00:00,3,Loja Física,1118986
21539,128,16,2025-04-29 00:00:00,1,Online,511856
21540,468,33,2025-06-27 00:00:00,4,Online,1224457
21541,93,5,2024-11-09 00:00:00,2,Loja Física,79621
21542,42,26,2025-04-26 00:00:00,4,Online,124968
21543,696,89,2025-07-08 00:00:00,1,Loja Física,449709
21544,212,62,2025-07-19 00:00:00,3,Loja Física,833825
21545,215,91,2025-04-23 00:00:00,2,Loja Física,1083252
21546,28,96,2024-10-08 00:00:00,4,Online,171352
21547,843,2,2025-06-30 00:00:00,1,Loja Física,342823
21548,701,60,2025-08-27 00:00:00,1,Loja Física,446942
21549,230,89,2025-05-05 00:00:00,2,Loja Física,899418
21550,447,63,2025-05-05 00:00:00,3,Loja Física,795924
21551,580,63,2025-07-09 00:00:00,3,Online,795924
21552,587,43,2025-02-12 00:00:00,3,Loja Física,1117798
21553,978,11,2025-02-22 00:00:00,3,Loja Física,858192
21554,443,28,2025-05-06 00:00:00,2,Loja Física,995718
21555,965,52,2025-02-03 00:00:00,2,Loja Física,718469
21556,703,22,2024-12-14 00:00:00,1,Loja Física,307662
21557,696,39,2025-02-19 00:00:00,2,Loja Física,1000323
21558,335,75,2025-04-13 00:00:00,4,Online,21323
21559,612,67,2024-10-28 00:00:00,1,Loja Física,156043
21560,922,77,2025-08-22 00:00:00,4,Loja Física,1847832
21561,313,51,2025-04-17 00:00:00,4,Online,932136
21562,819,5,2025-03-03 00:00:00,3,Online,1194314
21563,101,3,2025-01-29 00:00:00,3,Online,396905
21564,264,83,2025-04-11 00:00:00,1,Loja Física,10636
21565,708,53,2025-08-27 00:00:00,3,Loja Física,1401033
21566,885,44,2024-12-02 00:00:00,3,Loja Física,983499
21567,363,70,2024-11-05 00:00:00,4,Online,1201968
21568,885,78,2025-03-01 00:00:00,1,Loja Física,442628
21569,271,33,2024-12-01 00:00:00,1,Loja Física,306114
21570,168,6,2025-01-27 00:00:00,1,Loja Física,333097
21571,749,5,2025-03-22 00:00:00,2,Loja Física,79621
21572,169,24,2024-11-22 00:00:00,3,Loja Física,1447745
21573,913,8,2025-06-15 00:00:00,3,Loja Física,92188
21574,352,23,2025-02-26 00:00:00,3,Online,1394427
21575,319,52,2025-07-24 00:00:00,4,Loja Física,1436938
21576,741,100,2025-09-11 00:00:00,3,Online,3000
21577,735,24,2025-04-02 00:00:00,2,Loja Física,965163
21578,964,25,2025-04-05 00:00:00,2,Online,367749
21579,527,76,2025-08-15 00:00:00,3,Online,940672
21580,487,50,2025-01-05 00:00:00,2,Online,711036
21581,401,67,2025-03-23 00:00:00,3,Loja Física,46813
21582,746,74,2024-11-20 00:00:00,4,Online,956871
21583,645,95,2024-12-21 00:00:00,1,Online,187118
21584,496,39,2025-01-30 00:00:00,4,Loja Física,2000647
21585,824,11,2025-08-11 00:00:00,3,Loja Física,858192
21586,581,50,2025-07-16 00:00:00,4,Online,1422072
21587,860,4,2025-06-27 00:00:00,3,Online,51141
21588,395,30,2025-06-30 00:00:00,4,Online,1313036
21589,639,14,2025-05-04 00:00:00,4,Loja Física,1238012
21590,515,5,2025-06-28 00:00:00,4,Online,1592419
21591,541,51,2025-02-07 00:00:00,3,Loja Física,699102
21592,754,78,2024-10-04 00:00:00,3,Online,1327884
21593,791,60,2025-08-07 00:00:00,2,Online,893883
21594,426,54,2025-03-10 00:00:00,3,Online,288905
21595,868,74,2025-05-24 00:00:00,4,Loja Física,956871
21596,547,14,2025-05-18 00:00:00,2,Loja Física,619006
21597,848,79,2024-10-04 00:00:00,2,Online,665864
21598,830,95,2025-07-23 00:00:00,3,Loja Física,561354
21599,509,9,2025-03-28 00:00:00,2,Loja Física,936523
21600,141,49,2025-04-10 00:00:00,1,Loja Física,99774
21601,849,41,2024-12-05 00:00:00,3,Loja Física,83612
21602,680,52,2025-05-16 00:00:00,4,Loja Física,1436938
21603,80,94,2024-12-01 00:00:00,2,Loja Física,81146
21604,546,11,2025-06-21 00:00:00,2,Online,572128
21605,76,60,2024-12-28 00:00:00,1,Online,446942
21606,563,16,2024-10-28 00:00:00,4,Loja Física,2047425
21607,594,74,2025-01-29 00:00:00,2,Loja Física,478435
21608,1000,35,2025-04-22 00:00:00,1,Loja Física,232835
21609,323,55,2025-03-30 00:00:00,2,Online,38762
21610,745,6,2025-08-07 00:00:00,4,Online,1332389
21611,50,61,2025-07-21 00:00:00,3,Loja Física,1563663
21612,445,76,2025-08-01 00:00:00,2,Online,627114
21613,72,53,2025-07-09 00:00:00,1,Online,467011
21614,982,97,2025-07-24 00:00:00,1,Loja Física,487918
21615,469,67,2025-05-08 00:00:00,3,Online,46813
21616,159,65,2024-10-10 00:00:00,2,Loja Física,21488
21617,742,63,2024-12-29 00:00:00,4,Online,1061232
21618,230,22,2024-12-24 00:00:00,3,Loja Física,922985
21619,27,77,2024-11-16 00:00:00,3,Loja Física,1385874
21620,289,81,2025-08-19 00:00:00,4,Online,1731472
21621,277,19,2025-02-08 00:00:00,1,Online,36876
21622,400,4,2024-10-24 00:00:00,3,Loja Física,51141
21623,349,58,2024-10-22 00:00:00,1,Loja Física,364694
21624,508,87,2024-11-02 00:00:00,4,Online,1994588
21625,876,79,2025-05-02 00:00:00,2,Online,665864
21626,387,74,2025-09-09 00:00:00,3,Loja Física,717653
21627,456,54,2025-03-15 00:00:00,2,Loja Física,192603
21628,909,30,2024-10-21 00:00:00,2,Loja Física,656518
21629,883,36,2025-03-05 00:00:00,3,Loja Física,1039387
21630,724,2,2025-06-05 00:00:00,4,Online,1371293
21631,323,37,2025-02-23 00:00:00,1,Loja Física,34199
21632,479,71,2025-04-04 00:00:00,3,Loja Física,580553
21633,271,91,2025-05-19 00:00:00,2,Loja Física,1083252
21634,494,25,2024-10-12 00:00:00,3,Online,551624
21635,296,68,2025-05-04 00:00:00,1,Online,461441
21636,214,1,2025-01-18 00:00:00,3,Loja Física,574372
21637,840,51,2025-07-24 00:00:00,3,Loja Física,699102
21638,721,43,2024-10-13 00:00:00,2,Loja Física,745199
21639,524,30,2025-06-24 00:00:00,4,Loja Física,1313036
21640,232,17,2025-06-19 00:00:00,1,Online,386951
21641,313,15,2025-01-30 00:00:00,1,Loja Física,31413
21642,76,29,2025-06-21 00:00:00,4,Online,2093135
21643,347,5,2025-03-07 00:00:00,2,Loja Física,79621
21644,532,61,2025-08-02 00:00:00,4,Online,2084884
21645,536,70,2025-02-22 00:00:00,1,Loja Física,300492
21646,408,17,2024-11-22 00:00:00,1,Loja Física,386951
21647,707,3,2025-01-07 00:00:00,4,Loja Física,529207
21648,342,48,2025-05-22 00:00:00,3,Loja Física,939843
21649,374,28,2025-03-17 00:00:00,3,Online,1493577
21650,870,62,2025-03-11 00:00:00,3,Online,833825
21651,635,29,2025-01-15 00:00:00,1,Loja Física,523284
21652,888,100,2025-09-08 00:00:00,1,Loja Física,1000
21653,919,17,2025-03-18 00:00:00,2,Loja Física,773902
21654,590,98,2024-11-07 00:00:00,2,Online,820634
21655,123,14,2025-09-26 00:00:00,2,Online,619006
21656,674,2,2025-06-07 00:00:00,2,Loja Física,685647
21657,198,5,2025-07-01 00:00:00,3,Loja Física,1194314
21658,9,60,2025-05-24 00:00:00,3,Online,1340825
21659,573,1,2025-08-26 00:00:00,2,Loja Física,382915
21660,136,54,2025-06-30 00:00:00,4,Online,385206
21661,427,98,2024-10-22 00:00:00,3,Loja Física,1230951
21662,757,59,2025-06-26 00:00:00,1,Online,420696
21663,175,40,2025-04-21 00:00:00,4,Online,410252
21664,420,98,2025-04-08 00:00:00,4,Online,1641268
